years_experience,position,skills,location,market_salary,final_salary
1,Mid,"['Authentication', 'Dart', 'Generative AI', 'Groq API', 'Python', 'Rust']",Mumbai,1525000,1693000
7,Mid,"['C++', 'Pandas', 'SQL']",Mumbai,2350000,2368000
14,Lead,"['C++', 'Kubernetes', 'LLM', 'Next.js', 'Python', 'SQL', 'Spring Boot', 'Tailwind CSS', 'Vector Databases']",Bangalore,5447000,5961000
3,Mid,"['Angular', 'Data Pipelines', 'Express.js', 'Hadoop', 'LLM', 'PostgreSQL', 'Python']",Pune,1322000,1315000
16,Manager,"['Dart', 'Deep Learning', 'GitHub Actions', 'LLM']",Mumbai,6012000,6603000
2,Junior,"['Python', 'SQL', 'Tailwind CSS']",Delhi,980000,1047000
5,Senior,"['AWS', 'DynamoDB', 'Kotlin', 'Kubernetes', 'Next.js', 'Python', 'SQL', 'TypeScript', 'Vue.js']",Hyderabad,2773000,2809000
8,Mid,"['API Design', 'Flutter', 'Generative AI', 'Spark']",Delhi,2450000,2316000
2,Junior,"['Python', 'SQL', 'SQLite']",Delhi,976000,959000
17,Manager,"['Java', 'Rust', 'SQL', 'TensorFlow']",Mumbai,6215000,5527000
3,Senior,"['API Design', 'CI/CD', 'Data Science', 'GitHub Actions', 'Python', 'Rust', 'SQL', 'System Design', 'TypeScript']",Bangalore,2630000,2746000
20,Lead,"['Dart', 'Flutter', 'Kafka', 'Python', 'React', 'Terraform']",Mumbai,6034000,6233000
5,Lead,"['AWS', 'Apache Spark', 'Django', 'Express.js', 'Java', 'Kafka', 'Microservices', 'SQL', 'Spark', 'Terraform']",Bangalore,4307000,3865000
20,Manager,"['Azure', 'Computer Vision', 'FAISS', 'Groq API', 'Kotlin', 'PostgreSQL', 'PyTorch', 'SQL', 'Spring Boot']",Noida,6334000,6336000
2,Mid,"['AWS', 'Angular', 'Authentication', 'OpenAI API', 'Python', 'SQL']",Bangalore,1765000,1511000
2,Mid,"['Angular', 'Dart', 'Data Pipelines', 'LangChain', 'SQL', 'Swift']",Mumbai,1606000,1767000
10,Senior,"['NumPy', 'React', 'SQLite', 'Swift', 'System Design', 'Terraform', 'TypeScript']",Remote,2877000,2860000
9,Junior,"['ETL', 'Kotlin', 'Python']",Chennai,1407000,1349000
11,Manager,"['Hadoop', 'MLOps', 'NLP', 'Python', 'Swift']",Hyderabad,4967000,6011000
6,Lead,"['C', 'Dart', 'Next.js', 'Node.js', 'Python', 'Vue.js']",Bangalore,4574000,4737000
1,Junior,"['Next.js', 'Power BI', 'Python', 'TypeScript']",Delhi,898000,868000
0,Junior,"['Java', 'Kafka', 'Python']",Mumbai,739000,729000
17,Manager,"['Azure', 'CI/CD', 'CSS', 'Python', 'SQL', 'Scikit-learn', 'Terraform']",Chennai,4852000,5871000
10,Senior,"['CI/CD', 'Django', 'GCP', 'Generative AI', 'GraphQL', 'Microservices', 'MongoDB', 'iOS Development']",Delhi,3852000,3826000
6,Mid,"['Angular', 'Generative AI', 'Python']",Hyderabad,2033000,2370000
12,Senior,"['API Design', 'Data Pipelines', 'Data Science', 'ETL']",Noida,3479000,3168000
1,Junior,"['Machine Learning', 'Python']",Hyderabad,890000,779000
16,Senior,"['Flutter', 'GraphQL', 'Groq API', 'OpenAI API', 'Python', 'SQL', 'SQLite', 'TensorFlow']",Noida,3808000,4016000
6,Senior,"['CI/CD', 'LangGraph', 'MongoDB', 'RAG', 'SQL', 'System Design', 'Terraform', 'Testing']",Noida,3874000,3880000
2,Mid,"['Docker', 'Python', 'SQL']",Hyderabad,1384000,1460000
9,Lead,"['Node.js', 'Power BI', 'PyTorch', 'React Native', 'Rust', 'SQL', 'Scikit-learn', 'Swift']",Noida,4116000,4124000
17,Director,"['C++', 'Data Analysis', 'Data Pipelines', 'Java', 'NLP', 'Python', 'TensorFlow']",Bangalore,7608000,8444000
20,Manager,"['AWS', 'Bootstrap', 'Excel', 'FAISS', 'HTML', 'Java', 'Next.js', 'SQL', 'Scikit-learn']",Chennai,5119000,6190000
5,Junior,"['SQL', 'TypeScript']",Hyderabad,1168000,1148000
7,Senior,"['CSS', 'Deep Learning', 'Django', 'Machine Learning', 'NumPy', 'Python', 'React', 'SQL', 'Scikit-learn']",Mumbai,3926000,4029000
19,Lead,"['Data Science', 'MLOps', 'Python', 'SQL', 'Spring Boot', 'Statistics']",Delhi,5562000,5138000
7,Senior,"['Docker', 'ETL', 'PostgreSQL', 'Python', 'REST API', 'TensorFlow', 'Terraform']",Pune,2652000,2691000
15,Manager,"['Go', 'Power BI', 'Python', 'SQL', 'Tableau']",Mumbai,5541000,6222000
7,Junior,"['Python', 'SQL', 'Tableau']",Pune,1156000,939000
10,Lead,"['Azure', 'Django', 'Generative AI', 'JavaScript', 'MLOps', 'MongoDB', 'NumPy', 'Prompt Engineering', 'Tableau', 'Vue.js']",Remote,3842000,4432000
13,Senior,"['Docker', 'Kubernetes', 'Python', 'Rust']",Mumbai,3976000,3495000
3,Mid,"['GitHub Actions', 'Go', 'Kafka', 'NLP', 'PyTorch', 'SQL', 'Scikit-learn']",Delhi,1709000,1840000
18,Lead,"['AWS', 'Deep Learning', 'Kubernetes', 'Python', 'REST API', 'SQL', 'Tableau']",Gurgaon,5480000,5618000
8,Senior,"['Data Science', 'Python', 'Spring Boot', 'System Design', 'TypeScript']",Delhi,3371000,2997000
5,Senior,"['API Design', 'Android Development', 'Dart', 'Dashboarding', 'Docker', 'ETL', 'LangGraph', 'Python', 'Terraform']",Hyderabad,2627000,2738000
17,Lead,"['Authentication', 'Data Pipelines', 'Firebase', 'GitHub Actions', 'Groq API', 'HTML', 'Kubernetes', 'Python', 'Testing']",Pune,4118000,4515000
11,Senior,"['C++', 'Data Pipelines', 'Excel', 'Groq API', 'LLM', 'LangChain', 'NLP', 'Python', 'Vector Databases']",Bangalore,3971000,4147000
5,Mid,"['FastAPI', 'GraphQL', 'Power BI', 'PyTorch', 'React Native', 'SQL']",Bangalore,2045000,1904000
14,Manager,"['Agile', 'FastAPI', 'Firebase', 'Python']",Delhi,4959000,4114000
12,Director,"['Bootstrap', 'CSS', 'JavaScript', 'PostgreSQL', 'Python']",Mumbai,7936000,7786000
18,Manager,"['Android Development', 'Express.js', 'FAISS', 'GCP', 'PyTorch', 'Python', 'SQL', 'Spring Boot', 'iOS Development']",Pune,4559000,5845000
1,Mid,"['Agile', 'Apache Spark', 'CI/CD', 'DynamoDB', 'PyTorch']",Chennai,1117000,1210000
6,Lead,"['API Design', 'Java', 'Python', 'SQL', 'Swift']",Hyderabad,3568000,3568000
16,Senior,"['Django', 'MLOps', 'Python', 'Redis', 'SQL']",Bangalore,4336000,4019000
3,Mid,"['DynamoDB', 'Groq API', 'SQL']",Mumbai,1452000,1307000
6,Mid,"['CSS', 'Docker', 'HTML', 'Prompt Engineering', 'SQL', 'iOS Development']",Pune,1772000,1922000
3,Junior,"['Data Science', 'SQL']",Hyderabad,1075000,1135000
17,Director,"['Data Analysis', 'PostgreSQL', 'SQL', 'Testing', 'iOS Development']",Chennai,6451000,6923000
6,Mid,"['C', 'JavaScript', 'Python', 'SQL']",Mumbai,2348000,2720000
15,Manager,"['HTML', 'Python', 'React', 'Vue.js']",Delhi,5425000,5486000
11,Mid,"['Dashboarding', 'Data Science', 'Java', 'Node.js', 'Python', 'React Native', 'Statistics']",Hyderabad,2366000,2602000
13,Manager,"['Deep Learning', 'DynamoDB', 'Generative AI', 'Machine Learning', 'OpenAI API', 'Python', 'RAG', 'SQL', 'Testing']",Delhi,5814000,5608000
16,Director,"['Angular', 'Bootstrap', 'Excel', 'LLM', 'Python', 'React', 'SQL']",Bangalore,7976000,8165000
